cliff_uid,model,taxonomy_type,cell_label,sum_p_cliff
gsm1k::GSM1K_209_path_0::169,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.5857012572506347
gsm1k::GSM1K_704_path_0::71,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.4233257497410124
gsm1k::GSM1K_704_path_0::73,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.5036817420159596
math500::test/algebra/1072.json_path_0::278,Llama-3.2-1B-Instruct,DF,low-H + greedy,0.9999946356109105
math500::test/algebra/2023.json_path_0::168,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.3770353527156483
math500::test/algebra/2023.json_path_0::32,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.3455182410516545
math500::test/algebra/2023.json_path_0::7,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.896372331969823
math500::test/algebra/2023.json_path_0::79,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.3973113810952105
math500::test/algebra/2157.json_path_0::36,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.41240020796165333
math500::test/algebra/2232.json_path_0::92,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.03720952580043479
math500::test/algebra/224.json_path_0::237,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.4904354909637346
math500::test/algebra/2593.json_path_0::29,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.026814085892496183
math500::test/algebra/346.json_path_0::68,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.17792848211987042
math500::test/algebra/346.json_path_0::84,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.2469056399473709
math500::test/algebra/478.json_path_0::177,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.11695876417579269
math500::test/algebra/478.json_path_0::41,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.6387581950162661
math500::test/algebra/694.json_path_0::37,Llama-3.2-1B-Instruct,DF,low-H + greedy,0.9992816327692641
math500::test/counting_and_probability/1009.json_path_0::50,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.17836364318679246
math500::test/counting_and_probability/1060.json_path_0::35,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.3360483280393996
math500::test/counting_and_probability/230.json_path_0::162,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.34044818415348993
math500::test/counting_and_probability/230.json_path_0::164,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.3458506810293278
math500::test/geometry/106.json_path_0::167,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.0375311545558423
math500::test/geometry/106.json_path_0::197,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.2984125670329332
math500::test/geometry/106.json_path_0::198,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.529471438400196
math500::test/geometry/178.json_path_0::184,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.31425591594464813
math500::test/geometry/178.json_path_0::236,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.3326611087603882
math500::test/geometry/178.json_path_0::609,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.1192176148616805
math500::test/geometry/615.json_path_0::144,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.3173018999568855
math500::test/geometry/615.json_path_0::164,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.1832473605564968
math500::test/geometry/65.json_path_0::485,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.37773820890443155
math500::test/geometry/795.json_path_0::146,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.04280294623495531
math500::test/geometry/795.json_path_0::192,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.9188803853998485
math500::test/geometry/795.json_path_0::63,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.9668893221120867
math500::test/intermediate_algebra/1151.json_path_0::128,Llama-3.2-1B-Instruct,DF,low-H + greedy,0.9999758526617419
math500::test/intermediate_algebra/1151.json_path_0::576,Llama-3.2-1B-Instruct,DF,low-H + greedy,0.9999988079084972
math500::test/intermediate_algebra/1151.json_path_0::97,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.30281904046454206
math500::test/intermediate_algebra/1247.json_path_0::328,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.19748296921032354
math500::test/intermediate_algebra/1247.json_path_0::342,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.36644172047353857
math500::test/intermediate_algebra/1247.json_path_0::375,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.4108348668723555
math500::test/intermediate_algebra/128.json_path_0::133,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.25017977409470116
math500::test/intermediate_algebra/446.json_path_0::146,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.3206175231889535
math500::test/number_theory/1287.json_path_0::142,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.5753834906875411
math500::test/number_theory/1287.json_path_0::383,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.5799199576612617
math500::test/number_theory/521.json_path_0::32,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.4378897639084592
math500::test/prealgebra/1247.json_path_0::42,Llama-3.2-1B-Instruct,DF,low-H + greedy,0.9999765163221908
math500::test/prealgebra/1297.json_path_0::309,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.2009065059673519
math500::test/prealgebra/1297.json_path_0::33,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.9221353898841544
math500::test/prealgebra/1297.json_path_0::338,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.13576384066903383
math500::test/prealgebra/1686.json_path_0::16,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.9999404015613701
math500::test/prealgebra/1686.json_path_0::97,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.9395278762367454
math500::test/prealgebra/1730.json_path_0::176,Llama-3.2-1B-Instruct,AG,high-H + greedy,0.6265359142225904
math500::test/prealgebra/1730.json_path_0::254,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.06348546455307798
math500::test/prealgebra/1807.json_path_0::121,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.4375491935325968
math500::test/prealgebra/192.json_path_0::51,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.20145695433587257
math500::test/prealgebra/65.json_path_0::72,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.1730745297460428
math500::test/precalculus/285.json_path_0::353,Llama-3.2-1B-Instruct,SS,high-H + non-greedy,0.11564504431366036
