cliff_uid,model,taxonomy_type,cell_label,sum_p_cliff
math500::test/number_theory/1032.json_path_0::409,Qwen3-0.6B,DF,low-H + greedy,0.9992577603044276
math500::test/number_theory/1032.json_path_0::471,Qwen3-0.6B,AG,high-H + greedy,0.4853094299230608
math500::test/number_theory/1287.json_path_0::224,Qwen3-0.6B,AG,high-H + greedy,0.3786811378793657
math500::test/prealgebra/1247.json_path_0::130,Qwen3-0.6B,SS,high-H + non-greedy,0.5939336223053199
math500::test/prealgebra/1247.json_path_0::219,Qwen3-0.6B,SS,high-H + non-greedy,0.3486131840103667
math500::test/prealgebra/1730.json_path_0::472,Qwen3-0.6B,DF,low-H + greedy,0.9999947548186582
math500::test/prealgebra/1730.json_path_0::612,Qwen3-0.6B,SS,high-H + non-greedy,0.3264436591581708
math500::test/prealgebra/1807.json_path_0::93,Qwen3-0.6B,AG,high-H + greedy,0.49705460541789176
math500::test/prealgebra/1807.json_path_0::96,Qwen3-0.6B,AG,high-H + greedy,0.9726251603663972
math500::test/prealgebra/1807.json_path_0::104,Qwen3-0.6B,SS,high-H + non-greedy,0.26502890492823744
math500::test/prealgebra/1807.json_path_0::127,Qwen3-0.6B,AG,high-H + greedy,0.8132193232521968
math500::test/prealgebra/1807.json_path_0::221,Qwen3-0.6B,AG,high-H + greedy,0.6157981535661253
math500::test/prealgebra/1807.json_path_0::235,Qwen3-0.6B,DF,low-H + greedy,0.9916262860566026
math500::test/prealgebra/1807.json_path_0::372,Qwen3-0.6B,SS,high-H + non-greedy,0.32006648773395513
math500::test/prealgebra/1807.json_path_0::561,Qwen3-0.6B,DF,low-H + greedy,0.9998890284646847
math500::test/prealgebra/1840.json_path_0::15,Qwen3-0.6B,SS,high-H + non-greedy,0.5175432567561865
math500::test/prealgebra/2066.json_path_0::87,Qwen3-0.6B,AG,high-H + greedy,0.5444964151890009
math500::test/precalculus/1313.json_path_0::208,Qwen3-0.6B,DF,low-H + greedy,0.9999837670029827
math500::test/precalculus/1313.json_path_0::495,Qwen3-0.6B,DF,low-H + greedy,0.9999997615814777
math500::test/precalculus/285.json_path_0::262,Qwen3-0.6B,DF,low-H + greedy,0.999861963354527
math500::test/precalculus/285.json_path_0::330,Qwen3-0.6B,DF,low-H + greedy,0.9985193770722394
math500::test/precalculus/285.json_path_0::371,Qwen3-0.6B,AG,high-H + greedy,0.9213086078467542
math500::test/precalculus/285.json_path_0::446,Qwen3-0.6B,AG,high-H + greedy,0.9723460170662391
math500::test/precalculus/285.json_path_0::502,Qwen3-0.6B,DF,low-H + greedy,0.999774506888312
math500::test/precalculus/285.json_path_0::746,Qwen3-0.6B,AG,high-H + greedy,0.8912791196436631
math500::test/precalculus/681.json_path_0::140,Qwen3-0.6B,DF,low-H + greedy,0.9978245243309131
math500::test/precalculus/990.json_path_0::509,Qwen3-0.6B,AG,high-H + greedy,0.5460892751332044
