model_source,model_eval,dataset,data_idx,cliff_position,taxonomy_type,n_cliff_tokens,cpm_source,cpm_eval,delta_cpm
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_54_path_0,137,SS,7,0.3694189832899286,0.7012277089786135,0.3318087256886849
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_54_path_0,138,AG,8,0.43912586895164746,0.012428459665089419,-0.426697409286558
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_552_path_0,260,SS,8,0.3994798956389163,0.8892486079142372,0.4897687122753209
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_592_path_0,149,DF,17,0.9999861490202709,0.9999998664284391,1.3717408168134604e-05
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_592_path_0,150,SS,3,0.26236625744807407,0.0,-0.26236625744807407
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_592_path_0,208,SS,12,0.6049680783352334,0.9927108887292263,0.38774281039399294
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_65_path_0,54,SS,8,0.6000246691146048,0.24523422920047283,-0.354790439914132
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_664_path_0,32,AG,3,0.5359215947528877,0.005203796858248874,-0.5307177978946388
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_747_path_0,57,AG,3,0.9663088770870398,0.9769609754104706,0.010652098323430725
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_758_path_0,72,SS,9,0.46835685932199145,0.060085433647395776,-0.4082714256745957
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_758_path_0,183,AG,4,0.5990366534223595,0.7795849661109977,0.18054831268863825
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_775_path_0,101,SS,8,0.2707937352494699,0.8895490534195379,0.618755318170068
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_817_path_0,77,AG,2,0.9422840924740168,0.9870889932348917,0.044804900760874955
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_817_path_0,87,DF,5,0.9974982029717206,0.9999995810049201,0.0025013780331994973
Qwen3-0.6B,Qwen3-8B,gsm1k,GSM1K_817_path_0,148,SS,6,0.3299545840944574,0.018578095592914547,-0.3113764885015428
Qwen3-0.6B,Qwen3-8B,math500,test/algebra/1072.json_path_0,124,DF,5,0.996987358657757,0.9999995232552918,0.003012164597534839
Qwen3-0.6B,Qwen3-8B,math500,test/algebra/1078.json_path_0,255,DF,11,0.9999999430010049,1.0000000052771778,6.22761728852339e-08
Qwen3-0.6B,Qwen3-8B,math500,test/algebra/1143.json_path_0,407,AG,11,0.5120927291997344,0.014351312777989286,-0.4977414164217451
Qwen3-0.6B,Qwen3-8B,math500,test/algebra/224.json_path_0,14,AG,1,0.5374112188540299,0.21867351578684882,-0.3187377030671811
Qwen3-0.6B,Qwen3-8B,math500,test/algebra/224.json_path_0,29,DF,8,0.9999996414773267,1.0000000000000202,3.585226935332031e-07
Qwen3-0.6B,Qwen3-8B,math500,test/algebra/2593.json_path_0,116,AG,12,0.5312161357636773,4.7865934108369495e-06,-0.5312113491702665
Qwen3-0.6B,Qwen3-8B,math500,test/algebra/893.json_path_0,19,DF,19,0.9999997196101347,1.0000000000000948,2.803899601389048e-07
Qwen3-0.6B,Qwen3-8B,math500,test/algebra/893.json_path_0,192,DF,11,0.9999998239725716,1.0000000021943511,1.7822177955650886e-07
Qwen3-0.6B,Qwen3-8B,math500,test/algebra/893.json_path_0,273,DF,8,0.9999991662217977,1.0000000001137774,8.338919796901934e-07
Qwen3-0.6B,Qwen3-8B,math500,test/algebra/893.json_path_0,290,DF,15,0.9999999257115706,1.0000000007390182,7.502744758802748e-08
Qwen3-0.6B,Qwen3-8B,math500,test/geometry/283.json_path_0,580,SS,10,0.34864276618243367,0.029311968430982854,-0.3193307977514508
Qwen3-0.6B,Qwen3-8B,math500,test/geometry/283.json_path_0,583,AG,12,0.6514123383128971,0.22261264927869526,-0.42879968903420185
Qwen3-0.6B,Qwen3-8B,math500,test/geometry/465.json_path_0,1555,DF,18,0.9997815871426313,0.9999944190312767,0.00021283188864540392
Qwen3-0.6B,Qwen3-8B,math500,test/geometry/465.json_path_0,1618,SS,1,0.4007314573353035,0.0001901729934160966,-0.4005412843418874
Qwen3-0.6B,Qwen3-8B,math500,test/geometry/65.json_path_0,359,AG,7,0.9753780009545787,0.8106831734015707,-0.16469482755300802
Qwen3-0.6B,Qwen3-8B,math500,test/geometry/65.json_path_0,363,AG,5,0.33024102467976246,0.029449748306511994,-0.3007912763732505
Qwen3-0.6B,Qwen3-8B,math500,test/geometry/65.json_path_0,440,AG,3,0.8611683788833138,0.7767593144424775,-0.08440906444083629
Qwen3-0.6B,Qwen3-8B,math500,test/geometry/795.json_path_0,81,AG,3,0.9971482565360926,0.9996962788508906,0.002548022314798004
Qwen3-0.6B,Qwen3-8B,math500,test/geometry/795.json_path_0,193,DF,1,0.9999992847447459,1.0,7.152552541356272e-07
Qwen3-0.6B,Qwen3-8B,math500,test/geometry/795.json_path_0,287,AG,6,0.5375872792182704,0.5120105715056599,-0.025576707712610558
Qwen3-0.6B,Qwen3-8B,math500,test/geometry/795.json_path_0,300,SS,4,0.4677602935567401,0.09535508335460323,-0.37240521020213685
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1126.json_path_0,187,AG,2,0.9873401395261131,0.962651118662554,-0.024689020863559064
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1126.json_path_0,493,DF,11,0.9999994016677409,1.0000000354999299,6.338321889565179e-07
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1126.json_path_0,693,AG,1,0.5195664013833952,4.5879750935001646e-05,-0.5195205216324602
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1126.json_path_0,1135,SS,19,0.4747801993106538,9.880231484165505e-07,-0.4747792112875054
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1151.json_path_0,224,AG,1,0.4052923483254775,0.8872125507654598,0.4819202024399823
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1151.json_path_0,443,DF,9,0.9994591025217197,0.9999914303096138,0.0005323277878941379
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/121.json_path_0,1271,AG,1,0.8858995908925114,0.9310890820483532,0.04518949115584181
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1247.json_path_0,168,SS,14,0.40757400122226917,0.000626356646256722,-0.40694764457601246
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/128.json_path_0,133,DF,2,0.9965179800646248,0.9999988091586476,0.003480829094022808
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/128.json_path_0,569,SS,1,0.2536036726506796,0.8439111032447022,0.5903074305940226
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/134.json_path_0,240,SS,1,0.357229578800932,0.05937976567162503,-0.297849813129307
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1566.json_path_0,251,AG,1,0.8502449794890165,0.849602403028933,-0.0006425764600834771
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1566.json_path_0,294,AG,1,0.956908145865734,0.999151711629009,0.042243565763274926
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1779.json_path_0,236,DF,1,0.9998384974941088,0.9999979734461775,0.00015947595206866616
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1779.json_path_0,832,DF,17,0.999999971663947,0.9999999522144863,-1.944946070864262e-08
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1797.json_path_0,440,AG,7,0.6791206620519029,0.8519527708395181,0.17283210878761524
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1797.json_path_0,523,DF,7,0.9995988470801325,0.9999976765423695,0.0003988294622370159
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1797.json_path_0,748,DF,5,0.993271536651179,0.9996644473316101,0.00639291068043113
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1797.json_path_0,939,SS,1,0.13951653050881155,0.12935032400554508,-0.010166206503266467
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1797.json_path_0,941,SS,4,0.30189117453751296,0.8053762252628253,0.5034850507253124
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/1797.json_path_0,946,DF,2,0.9999571506149003,1.000000000013888,4.284939898768769e-05
Qwen3-0.6B,Qwen3-8B,math500,test/intermediate_algebra/2152.json_path_0,2,DF,1,0.9964374124154922,0.9999929667012066,0.003555554285714413
Qwen3-0.6B,Qwen3-8B,math500,test/number_theory/1032.json_path_0,215,AG,1,0.5304549686234552,0.9239682548256885,0.39351328620223325
Qwen3-0.6B,Qwen3-8B,math500,test/number_theory/1032.json_path_0,310,SS,1,0.12242421190994565,0.21836727602051353,0.09594306411056788
Qwen3-0.6B,Qwen3-8B,math500,test/number_theory/1032.json_path_0,409,DF,3,0.9992577603044276,0.9999997636426313,0.0007420033382037339
Qwen3-0.6B,Qwen3-8B,math500,test/number_theory/1032.json_path_0,471,AG,2,0.4853094299230608,0.510579002619119,0.02526957269605823
Qwen3-0.6B,Qwen3-8B,math500,test/number_theory/1287.json_path_0,224,AG,1,0.3786811378793657,0.0006861954824330075,-0.3779949423969327
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1247.json_path_0,130,SS,6,0.5939336223053199,0.07968814300087529,-0.5142454793044446
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1247.json_path_0,219,SS,5,0.3486131840103667,0.025871187990909417,-0.32274199601945724
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1730.json_path_0,472,DF,1,0.9999947548186582,1.0,5.245181341817506e-06
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1730.json_path_0,612,SS,8,0.3264436591581708,0.46533272752047383,0.13888906836230303
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1807.json_path_0,93,AG,2,0.49705460541789176,0.9806412936775525,0.4835866882596607
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1807.json_path_0,96,AG,1,0.9726251603663972,0.9965898852688396,0.02396472490244239
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1807.json_path_0,104,SS,1,0.26502890492823744,0.0454663240593762,-0.21956258086886124
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1807.json_path_0,127,AG,2,0.8132193232521968,0.8866946451725171,0.07347532192032025
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1807.json_path_0,221,AG,1,0.6157981535661253,0.0008787273046074799,-0.6149194262615179
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1807.json_path_0,235,DF,4,0.9916262860566026,0.9999865378434567,0.008360251786854067
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1807.json_path_0,372,SS,5,0.32006648773395513,0.20477367869561708,-0.11529280903833805
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1807.json_path_0,561,DF,1,0.9998890284646847,0.9999928474936721,0.00010381902898737305
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/1840.json_path_0,15,SS,13,0.5175432567561865,0.999971260712214,0.4824280039560275
Qwen3-0.6B,Qwen3-8B,math500,test/prealgebra/2066.json_path_0,87,AG,5,0.5444964151890009,0.9825443206325324,0.43804790544353145
Qwen3-0.6B,Qwen3-8B,math500,test/precalculus/1313.json_path_0,208,DF,6,0.9999837670029827,1.0000000007179544,1.6233714971614077e-05
Qwen3-0.6B,Qwen3-8B,math500,test/precalculus/1313.json_path_0,495,DF,1,0.9999997615814777,1.0,2.3841852225814364e-07
Qwen3-0.6B,Qwen3-8B,math500,test/precalculus/285.json_path_0,262,DF,9,0.999861963354527,0.9999756327650645,0.00011366941053747581
Qwen3-0.6B,Qwen3-8B,math500,test/precalculus/285.json_path_0,330,DF,3,0.9985193770722394,0.9994337189782886,0.0009143419060492208
Qwen3-0.6B,Qwen3-8B,math500,test/precalculus/285.json_path_0,371,AG,2,0.9213086078467542,0.8806929640913113,-0.04061564375544291
Qwen3-0.6B,Qwen3-8B,math500,test/precalculus/285.json_path_0,446,AG,1,0.9723460170662391,0.9936154057179464,0.021269388651707244
Qwen3-0.6B,Qwen3-8B,math500,test/precalculus/285.json_path_0,502,DF,1,0.999774506888312,0.9999990463265931,0.00022453943828104617
Qwen3-0.6B,Qwen3-8B,math500,test/precalculus/285.json_path_0,746,AG,2,0.8912791196436631,0.9199047824849806,0.028625662841317512
Qwen3-0.6B,Qwen3-8B,math500,test/precalculus/681.json_path_0,140,DF,1,0.9978245243309131,0.993285389394702,-0.004539134936211053
Qwen3-0.6B,Qwen3-8B,math500,test/precalculus/990.json_path_0,509,AG,15,0.5460892751332044,0.9796701825625994,0.43358090742939503
