cliff_uid,model,taxonomy_type,cell_label,sum_p_cliff
aime25::9_path_0::471,Llama-3.1-8B-Instruct,AG,high-H + greedy,0.9052930296666544
gsm1k::GSM1K_1010_path_0::22,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.32678596296029366
gsm1k::GSM1K_1022_path_0::39,Llama-3.1-8B-Instruct,AG,high-H + greedy,0.46750751665494406
gsm1k::GSM1K_1093_path_0::160,Llama-3.1-8B-Instruct,AG,high-H + greedy,0.334996951782941
gsm1k::GSM1K_1130_path_0::24,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.42408390629457854
gsm1k::GSM1K_1130_path_0::37,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.372701469425991
gsm1k::GSM1K_114_path_0::50,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.13987345783619265
gsm1k::GSM1K_1161_path_0::206,Llama-3.1-8B-Instruct,AG,high-H + greedy,0.707526437370123
gsm1k::GSM1K_1161_path_0::213,Llama-3.1-8B-Instruct,AG,high-H + greedy,0.7055772217642312
gsm1k::GSM1K_1161_path_0::227,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.06859760503652536
gsm1k::GSM1K_1195_path_0::17,Llama-3.1-8B-Instruct,AG,high-H + greedy,0.9031924888964631
gsm1k::GSM1K_1195_path_0::127,Llama-3.1-8B-Instruct,AG,high-H + greedy,0.5295102981693676
gsm1k::GSM1K_1195_path_0::150,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.32291574574123005
gsm1k::GSM1K_13_path_0::72,Llama-3.1-8B-Instruct,AG,high-H + greedy,0.25048672693188817
gsm1k::GSM1K_13_path_0::91,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.1498194768103231
gsm1k::GSM1K_13_path_0::126,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.2949670833375752
gsm1k::GSM1K_142_path_0::335,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.37739461964737686
gsm1k::GSM1K_224_path_0::115,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.18692889275746255
gsm1k::GSM1K_326_path_0::54,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.532019836551795
gsm1k::GSM1K_350_path_0::56,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.3263862017537202
gsm1k::GSM1K_350_path_0::70,Llama-3.1-8B-Instruct,DF,low-H + greedy,0.9999999981790183
gsm1k::GSM1K_393_path_0::145,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.40466409884004373
gsm1k::GSM1K_432_path_0::139,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.32887967160588305
gsm1k::GSM1K_435_path_0::130,Llama-3.1-8B-Instruct,SS,high-H + non-greedy,0.07525324861269002
gsm1k::GSM1K_457_path_0::40,Llama-3.1-8B-Instruct,DF,low-H + greedy,0.9999614968828868
gsm1k::GSM1K_469_path_0::153,Llama-3.1-8B-Instruct,DF,low-H + greedy,0.9999955892755635
gsm1k::GSM1K_469_path_0::186,Llama-3.1-8B-Instruct,AG,high-H + greedy,0.526168698062756
